类型,源语言,翻译语言,结果
英语,刚开始我也这样 必须要吹风机才行 刚开始手生还容易吹破 后来就直接用保鲜膜裹了 不用吹风 随便裹 扔了也不心疼,"At first, I was the same，I thought I needed a hair dryer. In the beginning, my hands were unskilled and I often blew it up. Later, I just wrapped it with cling film directly. No need for a hairdryer, and I could wrap it casually. I didn’t even care if I threw it away.","Yo, I used to be the same, hairdryer was a must! Clumsy af at first, kept ripping the wrap, but now I just slap on some cling film, no hairdryer needed, wrap it however, and chuck it when I'm done, no biggie 🤷‍♀️."
英语,"因为手气太好在工作日通宵打麻将，现在上班上得有点想🐭了，发誓再也不在工作日打麻将了md🀄️
#打麻将# #打麻将中到现在已经存款10w了# #打麻将怎么不算运动呢#","Because of my good luck, I stayed up all night playing mahjong on a weekday, and now I feel a bit like 🐭(dead) at work, vowing never to play mahjong on weekdays again fk🀄️
#PlayingMahjong[Topic]# #HavingSaved10wFromPlayingMahjong[Topic]# #WhyDoesn'tPlayingMahjongCountAsExercise[Topic]#","Dude, I was on a mahjong winning streak and pulled an all-nighter on a weekday, now I'm feeling like a zombie at work, swear I'm never doing that again during the week, frick! 🀄️ #mahjong #mahjongismybank #mahjongiscardio"
英语,最近太忙了 没更新 不好意思各位😅#外国女友# #美国# #中美情侣# #生日蛋糕# #小蛋糕# #美国女孩# #中外情侣#,Been super busy lately and haven’t had time to update. 😅 #Foreign Girlfriend # #USA # #Chinese-American Couple # #Birthday Cake # #Cupcake # #American Girl # #Chinese-foreign Couple #,"Hey y'all, been swamped lately, sorry for the lack of updates! 😅 #ForeignGirlfriend #USA #ChinaUSCouple #BirthdayCake #Cupcake #AmericanGirl #CrossCulturalCouple"
英语,借🔝 私信关了先让我清静清静……好的我是徐雯淼本淼 有事🐧：84徐8429雯901淼,"Borrow 🔝(Top comment) Private messages are turned off for some peace and quiet... Okay, I'm Xu Wenmiao in person. For matters 🐧(QQ): 84Xu8429Wen901Miao","Yo, lemme shut off DMs for a sec, need some peace and quiet ✌️... Yep, it's ya girl Xu Wenmiao, the one and only! Hit me up on QQ: 84徐8429雯901淼 😉"
中文,"“Alright.” He said, eyes darting from person to person. They had a certain kind of fire behind them that you hadn’t seen in Soap before. He looked like he was about to set a challenge. “It’s time. We’re playing a drinking game.”",“好吧。”他说，目光在每个人身上快速扫过。他们眼中闪烁着一种你之前在索普身上未曾见过的火焰。他看起来像是即将发起一场挑战。“时候到了。我们来玩个喝酒游戏。”,“行吧。” 他说着，眼睛滴溜溜地在大家伙儿身上转，Soap那眼神儿，跟以前不太一样，感觉要搞事情啊。“时候到了，咱们玩儿个喝酒游戏！”
中文,"“CHRISTMAS won't be Christmas without any presents, ” grumbled Jo, lying on the rug. “It's so dreadful to be poor! ” sighed Meg, looking down at her old dress. “I don't think it's fair for some girls to have plenty of pretty things, and other girls nothing at all, ” added little Amy, with an injured sniff. “We've got Father and Mother, and each other, ” said Beth contentedly from her corner. The four young faces on which the firelight shone brightened at the cheerful words, but darkened again as Jo said sadly, “We haven't got Father, and shall not have him for a long time.” She didn't say “perhaps never, ” but each silently added it, thinking of Father far away, where the fighting was. Nobody spoke for a minute; then Meg said in an altered tone, “You know the reason Mother proposed not having any presents this Christmas was because it is going to be a hard winter for everyone; and she thinks we ought not to spend money for pleasure, when our men are suffering so in the army. We can't do much, but we can make our little sacrifices, and ought to do it gladly. But I am afraid I don't.” And Meg shook her head, as she thought regretfully of all the pretty things she wanted.",“没有礼物送，不算圣诞节。”乔躺在地毯上嘟囔着。“贫穷真可怕！”美格低头看看一身旧衣服，叹息道。“有人漂亮东西应有尽有，有人却样样没有，我看不公平。”小艾美委屈地哼着鼻子，加了一句。“可我们有爸妈和姐妹相亲啊！”贝丝坐在角落里，倒是心满意足地说。听了振奋人心的话，四张小脸在炉火的映照下亮堂起来，但听了乔忧伤的话，马上又阴沉下去了：“可爸不在，长时间当兵在外。”虽然她没有说：“说不定有去无回了呢！”可心里都默默地加了这一句。她们想念着远方战场上的父亲。大家沉默了片刻，美格换了一种语气说道：“妈妈提出，今年圣诞不送礼，你们知道理由的，今年冬天对谁来说都难熬。现在男人们在军营里受煎熬，她觉得我们不应该花钱找乐。我们虽然做不了那么多，但可以，也应该乐意做出这么一点小小的牺牲。恐怕我是做不到哇。”美格摇摇头，一想到那些朝思暮想的漂亮礼物，不由懊丧起来。,“没礼物，这圣诞节算个啥呀！” 乔嘟囔着，瘫在小地毯上。“穷死了，真要命！” 梅格叹气，低头看着自己的旧裙子。“凭啥有些女孩儿好东西多得是，我们啥都没有，这也太不公平了吧！” 小艾米抽抽搭搭地抱怨。 “咱们有爸妈，还有彼此呀，” 贝丝在角落里心满意足地说。火光照亮了四张年轻的脸庞，因为这番话而明亮起来，但乔又伤感地说：“咱们现在没爸爸，而且还得好久才能见到他呢。” 她没说“也许再也见不到了”，但大家都默默地在心里补上了这句话，想着远在战场上的父亲。大家沉默了一会儿，梅格换了个语气说：“妈说了，今年圣诞节不送礼物，是因为今年冬天大家日子都不好过，咱们的男人们在军队里受苦受难，咱们不应该把钱花在享乐上。咱们能做的虽然不多，但可以做些小小的牺牲，而且应该开开心心地去做。但我恐怕做不到。” 梅格摇了摇头，遗憾地想着自己想要的所有漂亮东西。
中文,"“But I don't think the little we should spend would do any good. We've each got a dollar, and the army wouldn't be much helped by our giving that. I agree not to expect anything from Mother or you, but I do want to buy Undine and Sintram for myself.I've wanted it so long, ”said Jo, who was a bookworm. “I planned to spend mine in new music, ” said Beth, with a little sigh, which no one heard but the hearth brush and kettle holder. “I shall get a nice box of Faber's drawing pencils; I really need them, ”said Amy decidedly. “Mother didn't say anything about our money, and she won't wish us to give up everything. Let's each buy what we want, and have a little fun; I'm sure we work hard enough to earn it, ” cried Jo, examining the heels of her shoes in a gentlemanly manner. “I know I do—teaching those tiresome children nearly all day, when I'm longing to enjoy myself at home, ” began Meg, in the complaining tone again.",“我说，我们要花的那点点钱也无济于事。每人只有一元钱，就是捐给了军队也没什么用。没错，我不指望妈妈给什么，你们也不会送，可我真的想替自己买一本《水精灵》，老早就想买了。”乔说。要知道，她是个“书虫”。“我那一元钱本来想买新乐谱的。”贝丝说。她叹了一小口气，声音轻得除了壁炉刷和水壶架谁也没听到。“我要买一盒上好的费伯牌绘图铅笔，确实需要嘛。”艾美毅然决然地说。“妈妈并没有规定我们钱该怎么花，她不会希望我们什么都不要。不如大家都买自己想买的，开心一下。我说，挣这笔钱，我们够卖力的了。”乔一边高声说，一边审视着自己的鞋跟，颇有绅士风度。“可不是嘛——差不多整天都在教那些讨厌的孩子，本来倒希望回家轻松一下的。”美格又抱怨开了。,“可我觉得咱们这点儿钱，估计也帮不上啥忙。咱一人就一块钱，捐给军队那还不够塞牙缝的。我不指望从妈或者你那儿要钱，但我真想给自己买本《温蒂妮》和《辛特拉姆》，我惦记老久了！”书虫乔说道。“我打算用我的钱买点新乐谱，”贝丝小声叹气道，除了炉刷和壶垫，谁也没听见。“我准备买盒辉柏嘉的绘画铅笔，我真的需要，”艾米斩钉截铁地说。“妈也没说要我们捐出所有的钱啊，她肯定也不希望我们啥都放弃。要不咱们就各买各的，乐呵乐呵呗，我觉得咱们也够努力挣钱的了，”乔一边像个绅士似的检查着鞋后跟一边嚷嚷。“可不是嘛，我教那些烦人的孩子教了一整天，我都想在家好好享受享受，”梅格又开始抱怨了。
中文,"“Mother didn't say anything about our money, and she won't wish us to give up everything. Let's each buy what we want, and have a little fun; I'm sure we work hard enough to earn it, ” cried Jo, examining the heels of her shoes in a gentlemanly manner.",“妈妈并没有规定我们钱该怎么花，她不会希望我们什么都不要。不如大家都买自己想买的，开心一下。我说，挣这笔钱，我们够卖力的了。”乔一边高声说，一边审视着自己的鞋跟，颇有绅士风度。,“咱妈又没说咱的钱咋办，她肯定也不想咱啥都放弃啊！要我说，咱一人买点自己喜欢的，乐呵乐呵呗，咱这么努力工作，挣点钱还不能花啦？” 乔一边说，一边特爷们儿地检查着自己的鞋后跟。
法语,人心存良善，更应懂自保。,Les gens d’une grande bonté devraient mieuxsavoir se protéger.,"Faut avoir un bon fond, c'est clair, mais faut pas non plus se laisser marcher sur les pieds, hein 😉."
法语,要怨就怨，要恨就恨，落子无悔，决不回头。,"On blme, on hait, si l’on veut, mais il n’y apoint de regrets, il ne faut jamais revenir en arrière.","Vas-y, rouspète si t'as envie, hais-moi si ça te chante, mais une fois que c'est dit, c'est dit, on ne revient pas en arrière, c'est sans appel."
